Entry ID,Pairs of Acession Code(s)
1A6A,"[['P01903', 'P01911'], ['P01911', 'P04233'], ['P04233', 'P01903']]"
1AKJ,"[['P04439', 'P61769'], ['P61769', 'P01732'], ['P01732', 'P04439']]"
1AQD,"[['P01903', 'P01911'], ['P01911', 'P04439'], ['P04439', 'P01903']]"
1BX2,"[['P01903', 'P01911'], ['P01911', 'P02686'], ['P02686', 'P01903']]"
1DE4,"[['Q30201', 'P61769'], ['P61769', 'P02786'], ['P02786', 'Q30201']]"
1EFX,"[['P10321', 'P61769'], ['P61769', 'P43627'], ['P43627', 'P10321']]"
1FZA,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1FZB,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1FZC,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1FZE,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1FZF,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1FZG,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1H24,"[['P24941', 'Q01094'], ['Q01094', 'P20248'], ['P20248', 'P24941']]"
1H25,"[['P24941', 'P20248'], ['P20248', 'P06400'], ['P06400', 'P24941']]"
1H26,"[['P24941', 'P20248'], ['P20248', 'P04637'], ['P04637', 'P24941']]"
1H27,"[['P24941', 'P20248'], ['P20248', 'P46527'], ['P46527', 'P24941']]"
1H28,"[['P24941', 'P20248'], ['P20248', 'P28749'], ['P28749', 'P24941']]"
1HQR,"[['P01903', 'Q30154'], ['Q30154', 'P02686'], ['P02686', 'P01903']]"
1IM9,"[['P10321', 'P61769'], ['P61769', 'P43626'], ['P43626', 'P10321']]"
1J1D,"[['P63316', 'P45379'], ['P45379', 'P19429'], ['P19429', 'P63316']]"
1J1E,"[['P63316', 'P45379'], ['P45379', 'P19429'], ['P19429', 'P63316']]"
1JFI,"[['Q14919', 'Q01658'], ['Q01658', 'P20226'], ['P20226', 'Q14919']]"
1JSU,"[['P24941', 'P20248'], ['P20248', 'P46527'], ['P46527', 'P24941']]"
1L1O,"[['P35244', 'P15927'], ['P15927', 'P27694'], ['P27694', 'P35244']]"
1LM8,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
1LQB,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
1LT9,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1LTJ,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1M63,"[['Q08209', 'P63098'], ['P63098', 'P62937'], ['P62937', 'Q08209']]"
1MF8,"[['Q08209', 'P63098'], ['P63098', 'P62937'], ['P62937', 'Q08209']]"
1N86,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1N8E,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1NFI,"[['Q04206', 'P19838'], ['P19838', 'P25963'], ['P25963', 'Q04206']]"
1NVP,"[['P52655', 'P52657'], ['P52657', 'P20226'], ['P20226', 'P52655']]"
1OF2,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
1OGT,"[['P01889', 'P61769'], ['P61769', 'P32241'], ['P32241', 'P01889']]"
1P22,"[['Q9Y297', 'P63208'], ['P63208', 'P35222'], ['P35222', 'Q9Y297']]"
1P7Q,"[['P04439', 'P61769'], ['P61769', 'Q8NHL6'], ['Q8NHL6', 'P04439']]"
1P9M,"[['P40189', 'P05231'], ['P05231', 'P08887'], ['P08887', 'P40189']]"
1PK6,"[['P02745', 'P02746'], ['P02746', 'P02747'], ['P02747', 'P02745']]"
1QEW,"[['P04439', 'P61769'], ['P61769', 'P43357'], ['P43357', 'P04439']]"
1QRN,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
1QSF,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
1R4M,"[['Q13564', 'Q8TBC4'], ['Q8TBC4', 'Q15843'], ['Q15843', 'Q13564']]"
1R4N,"[['Q13564', 'Q8TBC4'], ['Q8TBC4', 'Q15843'], ['Q15843', 'Q13564']]"
1RE3,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1RE4,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1RF0,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1RF1,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
1S9K,"[['Q13469', 'P01100'], ['P01100', 'P05412'], ['P05412', 'Q13469']]"
1T08,"[['P35222', 'Q9NSA3'], ['Q9NSA3', 'P25054'], ['P25054', 'P35222']]"
1T2K,"[['Q14653', 'P05412'], ['P05412', 'P15336'], ['P15336', 'Q14653']]"
1T9G,"[['P38117', 'P11310'], ['P11310', 'P13804'], ['P13804', 'P38117']]"
1TT5,"[['Q13564', 'Q8TBC4'], ['Q8TBC4', 'P61081'], ['P61081', 'Q13564']]"
1U6G,"[['Q13616', 'P62877'], ['P62877', 'Q86VP6'], ['Q86VP6', 'Q13616']]"
1UVQ,"[['E9PMV2', 'P01920'], ['P01920', 'O43612'], ['O43612', 'E9PMV2']]"
1VCB,"[['Q15370', 'Q15369'], ['Q15369', 'P40337'], ['P40337', 'Q15370']]"
1W0V,"[['P01889', 'P61769'], ['P61769', 'P47974'], ['P47974', 'P01889']]"
1W0W,"[['P01889', 'P61769'], ['P61769', 'P47974'], ['P47974', 'P01889']]"
1W72,"[['P04439', 'P61769'], ['P61769', 'P43355'], ['P43355', 'P04439']]"
1XV9,"[['P19793', 'Q14994'], ['Q14994', 'Q15788'], ['Q15788', 'P19793']]"
1XVP,"[['P19793', 'Q14994'], ['Q14994', 'Q15788'], ['Q15788', 'P19793']]"
1XWD,"[['P01225', 'P23945'], ['P23945', 'P01215'], ['P01215', 'P01225']]"
1Y8R,"[['Q9UBE0', 'Q9UBT2'], ['Q9UBT2', 'P63165'], ['P63165', 'Q9UBE0']]"
2A1T,"[['P11310', 'P38117'], ['P38117', 'P13804'], ['P13804', 'P11310']]"
2ASS,"[['P63208', 'Q13309'], ['Q13309', 'P61024'], ['P61024', 'P63208']]"
2AST,"[['P63208', 'Q13309'], ['Q13309', 'P61024'], ['P61024', 'P63208']]"
2AZE,"[['Q14186', 'Q01094'], ['Q01094', 'P06400'], ['P06400', 'Q14186']]"
2C9W,"[['O14508', 'Q15370'], ['Q15370', 'Q15369'], ['Q15369', 'O14508']]"
2CCH,"[['P24941', 'P20248'], ['P20248', 'Q99741'], ['Q99741', 'P24941']]"
2CCI,"[['P24941', 'P20248'], ['P20248', 'Q99741'], ['Q99741', 'P24941']]"
2CIK,"[['P33260', 'O19626'], ['O19626', 'P61769'], ['P61769', 'P33260']]"
2CLR,"[['P04439', 'P61769'], ['P61769', 'P27797'], ['P27797', 'P04439']]"
2D31,"[['P17693', 'P61769'], ['P61769', 'P16104'], ['P16104', 'P17693']]"
2DSQ,"[['P22692', 'Q9NP10'], ['Q9NP10', 'P08833'], ['P08833', 'P22692']]"
2DYP,"[['P17693', 'P61769'], ['P61769', 'Q8N423'], ['Q8N423', 'P17693']]"
2F53,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
2F8X,"[['Q06330', 'P46531'], ['P46531', 'Q92585'], ['Q92585', 'Q06330']]"
2FFD,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2GL7,"[['P35222', 'Q9NQB0'], ['Q9NQB0', 'O00512'], ['O00512', 'P35222']]"
2H43,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2H62,"[['P12643', 'P36894'], ['P36894', 'Q13705'], ['Q13705', 'P12643']]"
2HLO,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2HOD,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2HPC,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2HYE,"[['Q16531', 'Q13619'], ['Q13619', 'P62877'], ['P62877', 'Q16531']]"
2IO2,"[['Q9HC62', 'P63165'], ['P63165', 'P46060'], ['P46060', 'Q9HC62']]"
2IO3,"[['Q9HC62', 'P61956'], ['P61956', 'P46060'], ['P46060', 'Q9HC62']]"
2IY0,"[['Q9P0U3', 'P63165'], ['P63165', 'P46060'], ['P46060', 'Q9P0U3']]"
2IZV,"[['Q8WXH5', 'Q15370'], ['Q15370', 'Q15369'], ['Q15369', 'Q8WXH5']]"
2J8U,"[['P04439', 'P61769'], ['P61769', 'Q9NPA0'], ['Q9NPA0', 'P04439']]"
2JCC,"[['P04439', 'P61769'], ['P61769', 'Q9NPA0'], ['Q9NPA0', 'P04439']]"
2JG8,"[['P02745', 'P02746'], ['P02746', 'P02747'], ['P02747', 'P02745']]"
2JG9,"[['P02745', 'P02746'], ['P02746', 'P02747'], ['P02747', 'P02745']]"
2JIX,"[['Q7Z3Y4', 'P19235'], ['P19235', 'Q6GMX6'], ['Q6GMX6', 'Q7Z3Y4']]"
2KI6,"[['P21579', 'P05230'], ['P05230', 'Q99584'], ['Q99584', 'P21579']]"
2LXT,"[['Q92793', 'Q03164'], ['Q03164', 'P16220'], ['P16220', 'Q92793']]"
2MSE,"[['P02647', 'A0A024RAV5'], ['A0A024RAV5', 'P10398'], ['P10398', 'P02647']]"
2MTP,"[['P21333', 'P08514'], ['P08514', 'P05106'], ['P05106', 'P21333']]"
2NPP,"[['P30153', 'Q13362'], ['Q13362', 'P67775'], ['P67775', 'P30153']]"
2NUP,"[['Q15436', 'O95486'], ['O95486', 'O75396'], ['O75396', 'Q15436']]"
2NUT,"[['Q15436', 'O95486'], ['O95486', 'O75396'], ['O75396', 'Q15436']]"
2NXY,"[['P01730', 'Q6P5S8'], ['Q6P5S8', 'Q6N095'], ['Q6N095', 'P01730']]"
2NY1,"[['P01730', 'Q6P5S8'], ['Q6P5S8', 'Q6N030'], ['Q6N030', 'P01730']]"
2NY3,"[['P01730', 'Q6N030'], ['Q6N030', 'Q6P5S8'], ['Q6P5S8', 'P01730']]"
2NY6,"[['P01730', 'Q6P5S8'], ['Q6P5S8', 'Q6N030'], ['Q6N030', 'P01730']]"
2NYL,"[['P30153', 'Q13362'], ['Q13362', 'P67775'], ['P67775', 'P30153']]"
2NYM,"[['P30153', 'Q13362'], ['Q13362', 'P67775'], ['P67775', 'P30153']]"
2OYH,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2OYI,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2P5E,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
2P5W,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
2PJY,"[['P10600', 'P36897'], ['P36897', 'P37173'], ['P37173', 'P10600']]"
2PO6,"[['P15813', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P15813']]"
2PYE,"[['P04439', 'P61769'], ['P61769', 'P01848'], ['P01848', 'P04439']]"
2Q6W,"[['P01903', 'P79483'], ['P79483', 'P05106'], ['P05106', 'P01903']]"
2Q9I,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2QAG,"[['Q15019', 'Q14141'], ['Q14141', 'Q16181'], ['Q16181', 'Q15019']]"
2QFA,"[['O15392', 'Q53HL2'], ['Q53HL2', 'Q9NQS7'], ['Q9NQS7', 'O15392']]"
2SEB,"[['P01903', 'P01911'], ['P01911', 'P02458'], ['P02458', 'P01903']]"
2UWE,"[['P04439', 'P61769'], ['P61769', 'Q9NPA0'], ['Q9NPA0', 'P04439']]"
2UXN,"[['O60341', 'Q9UKL0'], ['Q9UKL0', 'P68431'], ['P68431', 'O60341']]"
2V1D,"[['O60341', 'Q9UKL0'], ['Q9UKL0', 'Q16695'], ['Q16695', 'O60341']]"
2VDO,"[['P08514', 'P05106'], ['P05106', 'P02679'], ['P02679', 'P08514']]"
2VDP,"[['P08514', 'P05106'], ['P05106', 'P02679'], ['P02679', 'P08514']]"
2VDQ,"[['P08514', 'P05106'], ['P05106', 'P02679'], ['P02679', 'P08514']]"
2VDR,"[['P02679', 'P08514'], ['P08514', 'P05106'], ['P05106', 'P02679']]"
2VPG,"[['Q9Y3Y4', 'O00512'], ['O00512', 'P68431'], ['P68431', 'Q9Y3Y4']]"
2WNU,"[['P02745', 'P02746'], ['P02746', 'P02747'], ['P02747', 'P02745']]"
2WNV,"[['P02745', 'P02746'], ['P02746', 'P02747'], ['P02747', 'P02745']]"
2WTK,"[['Q9Y376', 'Q7RTN6'], ['Q7RTN6', 'Q15831'], ['Q15831', 'Q9Y376']]"
2X0L,"[['O60341', 'Q9UKL0'], ['Q9UKL0', 'P68431'], ['P68431', 'O60341']]"
2XNX,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2XNY,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2XPG,"[['P04439', 'P61769'], ['P61769', 'P60201'], ['P60201', 'P04439']]"
2XQN,"[['Q9Y615', 'Q8N8S7'], ['Q8N8S7', 'Q9UGI8'], ['Q9UGI8', 'Q9Y615']]"
2XWB,"[['P01024', 'P00751'], ['P00751', 'P00746'], ['P00746', 'P01024']]"
2Y48,"[['O60341', 'Q9UKL0'], ['Q9UKL0', 'O95863'], ['O95863', 'O60341']]"
2Z4E,"[['P02671', 'P02675'], ['P02675', 'P02679'], ['P02679', 'P02671']]"
2ZME,"[['Q96H20', 'Q86VN1'], ['Q86VN1', 'Q9BRG1'], ['Q9BRG1', 'Q96H20']]"
3A1J,"[['Q99638', 'O60921'], ['O60921', 'O60671'], ['O60671', 'Q99638']]"
